,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.region,license_plate.serial,license_plate.country,license_plate.mask
10,0016133.jpg,"[0.11395101171458999, 0.21775898520084566, 0.9100106496272631, 0.8696264975334743]",5ccda35a-6c9e-4c46-86bd-3dbd205a853c,fully_visible,1,562TLJ,,,Estonia,"[0.22577209797657083, 0.5088090204369274, 0.40468583599574015, 0.5088090204369274, 0.39989350372736954, 0.5799859055673009, 0.21991480298189564, 0.5799859055673009]"
11,0019637.jpg,"[0.003472222222222222, 0.07777777777777778, 0.9743055555555555, 0.8981481481481481]",5222535b-7225-4686-a8b1-3c8a340b78b7,fully_visible,1,291TNN,,,Estonia,"[0.09305555555555556, 0.4583333333333333, 0.24375, 0.45925925925925926, 0.2375, 0.5333333333333333, 0.08472222222222223, 0.5268518518518519]"
12,0003596.jpg,"[0.05141202027516292, 0.41367323290845887, 0.9732078204199855, 0.9606025492468134]",9849ab10-4858-467f-b3a2-896031223d02,fully_visible,1,18ZMX,,,Estonia,"[0.8428674873280232, 0.6222479721900348, 0.8848660391020999, 0.6141367323290846, 0.8913830557566981, 0.6639629200463499, 0.8501086169442433, 0.6720741599073001]"
13,0012359.jpg,"[0.09166666666666666, 0.020370370370370372, 0.9222222222222223, 0.8629629629629629]",f4bfa294-6863-4430-a61c-30102d6da0a7,fully_visible,1,309APK,,,Estonia,"[0.5909722222222222, 0.6305555555555555, 0.8, 0.6129629629629629, 0.8, 0.687037037037037, 0.5888888888888889, 0.7064814814814815]"
14,0019254.jpg,"[0.000625, 0.04416666666666667, 0.848125, 0.9433333333333334]",bd4e9c8b-22e7-42d6-bf6f-6df1d8ae0cdb,fully_visible,1,819BPH,,,Estonia,"[0.620625, 0.8641666666666666, 0.620625, 0.8875, 0.7025, 0.8908333333333334, 0.705, 0.8608333333333333]"
15,0036972.jpg,"[0.122, 0.14186369958275383, 0.883, 0.8191933240611962]",16c1097c-ad49-44a4-aca0-e58071b4cb9d,fully_visible,1,999AAX,,,Estonia,"[0.242, 0.6230876216968011, 0.367, 0.6244784422809457, 0.369, 0.6717663421418637, 0.241, 0.6717663421418637]"
16,0011641.jpg,"[0.052083333333333336, 0.1712962962962963, 0.9479166666666666, 0.8157407407407408]",04b2f538-0ff8-452a-9cc1-e1c8b401961e,fully_visible,1,969TMG,,,Estonia,"[0.68125, 0.5740740740740741, 0.8340277777777778, 0.5675925925925925, 0.8354166666666667, 0.6157407407407407, 0.6833333333333333, 0.6222222222222222]"
17,0042707.jpg,"[0.0912863070539419, 0.1308411214953271, 0.9139004149377593, 0.9314641744548287]",643c9607-8da2-4584-b070-efb5521cc297,fully_visible,1,AE-5947,,,Estonia,"[0.17012448132780084, 0.8457943925233645, 0.22199170124481327, 0.8598130841121495, 0.22199170124481327, 0.8894080996884736, 0.17012448132780084, 0.8738317757009346]"
18,0023723.jpg,"[0.04852941176470588, 0.11098527746319366, 0.9176470588235294, 0.9467723669309174]",fd1f3b68-24fb-4fd9-8784-785e6faafc1c,fully_visible,1,914YJP,,,Estonia,"[0.2073529411764706, 0.7836919592298981, 0.2757352941176471, 0.7791619479048698, 0.27647058823529413, 0.8074745186862967, 0.20955882352941177, 0.812004530011325]"
19,0039854.jpg,"[0.17083333333333334, 0.19333333333333333, 0.76, 0.8144444444444444]",593f32e8-f888-451e-8a85-d48cf0680702,fully_visible,1,429BKC,,,Estonia,"[0.3333333333333333, 0.5211111111111111, 0.5083333333333333, 0.5333333333333333, 0.5083333333333333, 0.5955555555555555, 0.335, 0.5811111111111111]"
