,file_name,bbox,license_plate.id,license_plate.visibility,license_plate.rows_count,license_plate.number,license_plate.region,license_plate.serial,license_plate.country,license_plate.mask
10,0115860.jpg,"[0.20576540755467196, 0.1676602086438152, 0.8737574552683897, 0.9456035767511177]",1b72108e-8686-490e-baf2-474013edc87e,fully_visible,1,FFG284,,,Lithuania,"[0.32703777335984097, 0.8539493293591655, 0.39065606361829025, 0.8502235469448585, 0.39165009940357853, 0.8710879284649776, 0.3275347912524851, 0.8740685543964233]"
11,0016678.jpg,"[0.06049004594180704, 0.175990675990676, 0.9226646248085758, 0.9347319347319347]",454c36ec-e982-4434-9af9-410b2043045f,fully_visible,1,GRH391,,,Lithuania,"[0.6891271056661562, 0.6153846153846154, 0.7924961715160797, 0.6142191142191142, 0.7963246554364471, 0.6503496503496503, 0.6937212863705973, 0.6585081585081585]"
12,0004980.jpg,"[0.08898678414096917, 0.1845102505694761, 0.986784140969163, 0.9225512528473804]",4a548ff5-e2fc-4e14-b2c6-66640db40689,fully_visible,1,KCL094,,,Lithuania,"[0.5594713656387665, 0.6651480637813212, 0.7709251101321586, 0.6697038724373576, 0.7709251101321586, 0.7198177676537585, 0.560352422907489, 0.724373576309795]"
13,0001582.jpg,"[0.23819444444444443, 0.014814814814814815, 0.9722222222222222, 0.9861111111111112]",46762d3f-d7ed-44d0-8e77-baecd8831cc7,fully_visible,1,OH517,,,Lithuania,"[0.60625, 0.8851851851851852, 0.7256944444444444, 0.8898148148148148, 0.7256944444444444, 0.9324074074074075, 0.6069444444444444, 0.9287037037037037]"
14,0016583.jpg,"[0.08819444444444445, 0.26296296296296295, 0.9125, 0.8657407407407407]",fb34ad13-b4d1-4402-aaac-9587c7757972,fully_visible,1,LJP324,,,Lithuania,"[0.6833333333333333, 0.5601851851851852, 0.6895833333333333, 0.6212962962962963, 0.8208333333333333, 0.6092592592592593, 0.8152777777777778, 0.5537037037037037]"
15,0035180.jpg,"[0.20693222969477496, 0.12123241795043536, 0.9389549922400414, 0.9490957803081045]",fdd58f3b-e23c-4d10-b455-ea6d75fc4041,fully_visible,1,FBG944,,,Lithuania,"[0.4702534919813761, 0.8432685867381112, 0.380237972064149, 0.8466175485599464, 0.3817899637868598, 0.8747488278633624, 0.47232281427832384, 0.8740790354989953]"
16,0107248.jpg,"[0.12883435582822086, 0.13813229571984437, 0.8466257668711656, 0.8832684824902723]",37e64edb-7718-4752-8351-2e28b84c821d,fully_visible,1,HBM269,,,Lithuania,"[0.6392638036809816, 0.6926070038910506, 0.6392638036809816, 0.7431906614785992, 0.7558282208588957, 0.7159533073929961, 0.7521472392638037, 0.6731517509727627]"
17,0068491.jpg,"[0.1275, 0.05333333333333334, 0.8441666666666666, 0.9222222222222223]",a4925405-60f5-4212-87e9-31ea5dff160f,fully_visible,1,HUT358,,,Lithuania,"[0.5233333333333333, 0.8, 0.6183333333333333, 0.81, 0.6208333333333333, 0.7855555555555556, 0.525, 0.7755555555555556]"
18,0010439.jpg,"[0.02029664324746292, 0.343520782396088, 0.8813427010148321, 0.9596577017114915]",59d1d0dd-b8ee-4a08-b7d4-678294cc8cf2,fully_visible,1,KTD266,,,Lithuania,"[0.7595628415300546, 0.7542787286063569, 0.8454332552693209, 0.7249388753056235, 0.8469945355191257, 0.7677261613691931, 0.7619047619047619, 0.7970660146699267]"
19,0102864.jpg,"[0.08, 0.13367875647668392, 0.934375, 0.9326424870466321]",e56f9def-7c06-4468-88f7-0d618eafc5be,fully_visible,1,GEU519,,,Lithuania,"[0.708125, 0.7015544041450777, 0.828125, 0.689119170984456, 0.8275, 0.7440414507772021, 0.70625, 0.7575129533678756]"
